tweet,polarity
@convomfs jangankan KIPK PIP aja salah sasaran temen gw hp boba punya mobil 2 toko motor&gt;3 bpknya boss tiap hari antar jemput pke mobil. gw heran bisa nya dia dapet padahal masih bnyak tmn gw yg lebih layak buat dapet uang itu ,negative
Lagi rame kasus KIPK salah sasaran. Mana org yg dapet KIPK pada kaya mampus. Bukannya mau adu nasib tapi saya yang org yg tidak pake kip aja kalo beli beli skincase masih mikir. Gak jarang beli basic skincare molor bbrp bulan karna lagi gak ada uang.,negative
@miutlak ini kenapa qrt ma komennya pada ga setuju dah? apa kelen yg dapet kipk salah sasaran takut ke spill???? selagi kaga ada promote shop*e affiliate sihh gua dukung bikin thread ginian biar jadi sanksi sosial ma HR gampang nyari wkwkw,neutral
Gue harap perspillan terhadap penerima kipk yang salah sasaran ini terus berlanjut dan kalau bisa di kampus-kampus lain juga. Orang-orang kaya mereka emang bisa mampusnya pas kena sanksi sosial doang. Temen gue yg kurang mampu sampe pesimis kuliah karena saingannya orang'' ini.,negative
ini yg dapet kipk salah sasaran di undip sebanyak ini yg ke kuak gimana kalo kampus lain ikutan juga,negative
@lilyxloey @convomfs ojo podo kipk salah sasaran ,negative
emang salah sasaran ya penerima kipk https://t.co/8Hu4i3e5Ok,negative
@collegemenfess kann emng sensi skli masalah ini tuh krn kebanyakan emng banyak salah sasaran temenku juga ada yg penerima kipk lancar bgtt ngafe sana sini skinkernya jg ga main2 la roche posayy anjirtttt,negative
LU BABIIII pokonya penerima kipk salah sasaran semuanya babi karena lu koruptor,negative
@princessrumble Gila gila gila Kok bisa ya ? Salah sasaran kipk,negative
anak kipk salah sasaran lagi pada sibuk ngearsip postingannya hahahahaha,negative
Rame banget ini masalah KIPK ternyata banyak juga yang gatau diri dan salah sasaran,negative
@Ghumaishahmad @umjigyul @__HappyBoo @pymidnight @undipmenfess Eh sori banget salah baca aku iya bener per semester tapi tetep aja si korup ga tepat sasaran itu salah semoga makin banyak yang keungkap yah dan dialokasi buat yg bener butuh kek temen gue ga dapet kipk trs pontang panting kerja buat ukt kuliah,negative
Kipk salah sasaran yg ribut sesama mahasiswa. Panitianya ngapain noh.,negative
@undipmenfess buset makin banyak aja yg ke spill ayo teruskan biar nanti yg lolos kipk ga salah sasaran lagi,negative
Sedih banyak bngt kipk yg salah sasaran Dan lumayan nguras energi juga ya,negative
base kampus sebelah rame bgt tuh penerima KIPK salah sasaran yg ke spill gaya hedon tp pake kipk dengan berbagai dalih pembelaan pdhl ga seharusnya dia dapet di unila! ada jg ga siii??,negative
braw! kesel banget sama orang yang ga seneng tentang spill mahasiswa/i KIPK tapi HEDON karena emang menurutku banyak KIPK yang salah sasaran kek contohnya temenku pas smt 4 dua yang keluar karna masalah ekonomi dan mereka ga dapet KIPK. Sedangkan orang yang dapat KIPK (cont..),negative
@tanyarlfes sumpah ini anak KIPK yang salah sasaran tuu sebanyak itu.. temen gue cerita temennya anam KIPK gataunya bapaknya punya sawah banyak ada sapi berapa tau terus doi juga make skincare La Roche Posay :)),negative
YaAllah undip cerita pertamaku bahkan smpe skrg kdg gamon kecil tp knp undip skrg lg ga baik² aja yak gara² kipk nya bnyk salah sasaran &amp; herannya masa sekelas mahasiswa undip kyk gt perilakunya kasian bgtt yg bener² butuh kipk,negative
Makin lama spill spillan kipk terhadap pelaku salah sasaran makin gila anjir tidak membela sedikitpun karena mereka2 yg menyalahgunakan kesempatan. Tapi ternyata sanksi sosial bagi kalian juga sama2 minim empati,negative
Bjir undip banyak betul anak kipk yang salah sasaran,negative
Kata gw kasus kipk yg ternyata malah salah sasaran nih kudu diperhatikan. Penerima²nya juga kudu diverifikasi lebih mateng sama pemerintah. Trus lagi tiap tahun dikontrol. Jadi misal siapa tau diantara mereka ekonominya udh membaik bisa dialihkan ke yg lebih membutuhkan.,negative
selain undip kyok e akeh banget iki kipk salah sasaran,negative
@ub_mfs sebenernya KIPK ini menurutku banyak yang salah sasaran nderr dari kampus sebelah yang menyeruakan tentang KIPK ini maka dari itu apa salahnya kita ikut menyeruakannya agar yang SEHARUSNYA dapat KIPK itu ga salah sasaran nderr,negative
Yang lagi sering muncul di tl Kipk yujiem Kipk undeep Yang salah sasaran wkwkwk Mereka yg dpt tp salah sasaran itu lagi sibuk cari pembelaan sama lagi ngehapusin jejak digital kayanya wkwk,negative
Another day another pembahasan tentang kipk. Muak banget jujur terlalu banyak penerima yang sebenernya ga pantes untuk dapetin kipk. Alias salah sasaran.,negative
plis ramein trend kipk salah sasaran ini,negative
ini kenapa dari maren isi tl gw anak undip yg salah sasaran dapat kipk si? ,negative
@ub_mfs maaff nderr coba dipikir lagi deh kipk ini banyk salah sasaran kenapa dana buat HEDON tersebut di alokasikan buat kebutuhan PENDIDIKAN karena jujur temanku ada yang berenti kuliah karna kendala ekonomi dan dia ga dapet KIPK itu yang seharusnya dia dapat yaa dari kriterianya,negative
@tanyarlfes Spill semua pengguna kipk yg salah sasaran biar jera,negative
 bener bener salah sasaran ga abis pikir sama koruptor kipk ya allah kok tega bgt gini https://t.co/hl9m7QkDPc,negative
@undipmenfess makin lama makin banyak yg kebongkar soal KIPK yg salah sasaran.. setelah banyak kejadian begini kebijakan KIPK diubah bahkan bisa ditiadakan kasian generasi mendatang yg benar² butuh biaya ga mendapatkannya..,negative
Ini gimana sih kok bisa dapet KIPK kayak kok bisa banyak yg salah sasaran. Emang gaada survey dulu atau gimana sih kesel banget gue,negative
undip ini sarang kipk salah sasaran apa gmn wkwk,negative
@undipmenfess Yg nerima KIPK tapi salah sasaran kenapa template bgt kepribadiannya dari kemaren estetik pake produk apple terlihat seperti yg HEEM,negative
@undipmenfess Cara ngelaporin kipk salah sasaran gimana sih?,negative
@undipmenfess Unchdeep bgt yg salah sasaran kipk dh,negative
ini udah brpa total kipk salah sasaran di undip bjir banyak amat ga abis2 : ),negative
kesel bgt with KIPK user salah sasaran apalagi sampe manipulasi data. medium class terhimpit bgt tai kaya kaga miskin kaga. UKT? gede cok. i think im gonna move my ass to work and get some money in this semester.,negative
Seru banget bacain thread anak kipk salah sasaran hahaha Emng melempem aja sistemnya tiap tahun pasti ada ramenya soal kipk @Kemdikbud_RI gamau benerin sistem kah? Kipk nyasar ke ribuan bukan puluhan berapa dana yg salah sasaran tuh wkwkwk Mending kalo bener ini kaga,negative
timeline gue isinya soal hedon bisa bayar ukt gabisa alias kipk salah sasaran,negative
baru di undip doang udah ketauan bnyk bgt oknumnya. uny spill juga dong. buanyaaaaak banget soalnya wkwkw. kipk salah sasaran. kasian orang-orang yg beneran butuh kipk buat melanjutkan pendidikan kalah sama orang hedon :((,negative
Punten kalau mau sp1ll kipk yg salah sasaran saran sender sensor setengah2 aja gais. Inisial aja gitu atau sp1ll statusnya misal skrg ikut ormawa X atau kepanitiaan Y,negative
Para penerima kipk salah sasaran ini merusak citra coquette sj ,negative
Banyak banget kipk salah sasaran di Undip nih mestinya bisa jadi pelajaran buat penyelenggara nya buat lebih selektif lagi. Kalo udah viral gini sih harus banget diselidiki satu persatu.,negative
lanjutkan unchdeep spill anak kipk yg salah sasaran itu ,negative
hmmm sedang ramai soal kipk sebenernya di jenjang sma/smk jg banyak yg salah sasaran....,negative
@undipmenfess Daripada energi dihabiskan menyerang satu persatu penerima kipk salah sasaran yang sepertinya tidak ada habisnya mending yang diserang pembuat kebijakan agar hal spt ini tdk terjadi lagi. Juga protes agar ukt lebih terjangkau,negative
Kayaknya pemerintah atau penyelenggara KIPK atau whateber you called ini perlu evaluasi lagi deh proses seleksi kipk buanyak banget daritadi aku liat kayaknya yg salah sasaran malah jadi mupuk mental korupsi gini,negative
Penerima KIPK salah sasaran pasti lagi ketar-ketir skrg,negative
@undipmenfess pls Kemendikbud atau siapapun yang mengurus KIPK KJMU tolong ditelurusi lagi biar gak salah sasaran gini.,negative
Banyak banget TL yg lewat hari ini tentang KIPK yg salah sasaran mana yang dapet orang orang mampu semua lagi. Semoga kedepannya bisa diperbaiki lagi sistem KIPK agar tidak salah sasaran,negative
@undipmenfess Penerima kipk salah sasaran banyak bet njirr,negative
Yaelah lu kayak gatau aja tuh pemakan2 kipk lain yg juga salah sasaran GAK AKAN nyerahin diri hidup enak tentram juga krn less likely org bakal lapor entah krn takut kespill Cepu dan gapunya bukti juga.,negative
@undipmenfess Anjirrrrrrrrrr banyak amat kipk salah sasaran,negative
udah dibilang kipk tuh kebanyakan salah sasaran cuman populasi 2% aja yang bener bener emang ga mampu bayar sisanya wallahualam.,negative
@sbmptnfess aku ga iri sama iPhone nya aku iri sama gaya hidup nya yang ga harus pusing mikirin ukt dan biaya hidup lagi (khusus yang salah sasaran alias udah kaya tapi dapet kipk).,negative
@terpamungkas Kata anak saya banyak anak2 penerima kipk itu pke Ipon yg terbaru kan salah sasaran bgt njiirr..,negative
@undipmenfess bukan korban mah jatuhnya pelaku.. kamu salah satu kipk yg ga tepat sasaran ya?,negative
ngomong2 soal kipk salah sasaran di kelasku jg ada anak penerima kip tp dia bisa ngonser beli lighstick collect photocard make up nya mahal2 kayak skintific intinya hidupnya hedon bgtttt emg kipk salah sasaran tu sebanyak itu,negative
@undipmenfess Hahahah anak kipk ternyata yang salah sasaran emang Hedon bgt yak,negative
satu per satu dispill semua pengguna KIPK salah sasaran ni wkwkwk,negative
@berkulyeah Yups yg bikin banyak anak putus kuliah itu ya pemerintah sebenarnya gak mampu bikin sistem fair sesuai dengan pendapatan masyarakat Indonesia akhinya UKT gila an harganya Bikin bantuan kipk begini juga bnyk salah sasaran artinya dari awal udah ada yg salah sistemnya,negative
yg lolos program KIPK salah sasaran cakep cakep semua anjirr curiga ada pemain di belakang layar ini mah,negative
@undipmenfess kipk kebanyakan salah sasaran apa gmnsih,negative
sinting bgt responnya kok kaya gaterima gitu ngespill anak kipk yg salah sasaran?? km anak kipk yhh???,negative
KIPK yg salah sasaran itu buat orang orang yg mental miskin wkwk,negative
ini cuma Undip aja kah yang lagi ngincer KIPK salah sasaran? seru bgt gua scroll isi nya base undip wkwk,negative
coba yang penerima kipk salah sasaran di um tolong di spill juga dong,negative
@brunisuh tapi jujur jadi takut salah sasaran ini dijadikan alasan pemerintah buat hilangin bantuan KIPK tapi semoga engga yaa,negative
Spall spill kipk salah sasaran undip emang seru. Tp aku jg setuju kalo akan lebih keren andai seluruh mahasiswa bisa bersatu &amp; berserikat buat demo turunin ukt,negative
@jjhoneyss @undipmenfess gokilll bener dah ni hidup anak2 kipk salah sasaran. kok bisa ya keterima,negative
@undipmenfess sering bgt ya kipk salah sasaran gini https://t.co/Drrxwwu6Ba,negative
allah emang ga tidur karma makan hak orang lain sampe aib nya ke bongkar se akar²nya . aku yg kelas menengah engap bngt mau ikut kipk ga berani karna takut ada yang lebih membutuhkan. liat kipk yg pada salah sasaran rasanya aku pen nangis aja,negative
@tanyarlfes Suka bingung gimana cerita KIPK dll bisa salah sasaran kayak pernah KTP ku kok bisa masuk list penerima bansos semacamnya gitu sampe ga bisa daftar kartu prakerja di tolak mulu,negative
gaabis pikir lagi kok bisa KIPK salah sasaran tuh gimana,negative
@undipmenfess ini pasti sendernya salah satu penerima kipk yg salah sasaran itu,negative
Eh gak kuat banget ngeliat tweets kipk salah sasaran?? Banyak banget??,negative
@rrrascal__ Aku speak up kek gini sebagai korban yang di bully karena perkara dr beli sbucks 54k padahal mereka gak tau hidup aku kek gimana? Tiap hari raya yang dibahas uang uang uang mereka gak ngerti klo misal gak semua penerima KIPK itu salah sasaran.,negative
seru bgt org org pd spill kipk salah sasaran keep it up!,negative
@lchizue Jangankan KIPK bidikmisi aja banyak yg salah sasaran,negative
@adharaf_ @undipmenfess Another day another salah satu KIPK salah sasaran lagi,negative
Inipun gasadar diri juga. Kesel bgt bbrp hari ini ngeliat kipk ga tepat sasaran padahal jauh lebih banyak mahasiswa/i dari keluarga menengah yang butuh bantuan buat bayar ukt tapi gadapat hanya karena salah satu ortu nya pns. Memang kontol,negative
perasaan tiap hari ada aja yg kena spill kipk salah sasaran,negative
@tanyarlfes Kipk bener benee salah sasaran kayak mna sih seleksi nya,negative
@anggapph2 Yeeee kipk aja banyak yang salah sasaran mahasiswa yang harusnya dapet malah ga dapet. Justru kalo memang stan bukan satu satunya jalan kenapa harus ditutup? Kenapa malah mengurangi solusi buat kuliah tanpa terhalang biaya?,negative
Diliat liat ini kipk salah sasaran kebanyakan cewek cewek emang doyan flexing ternyata...,negative
@tanyakanrl isi tl gw akhir ini: timnas u23 ija kipk ija bully penerima kipk salah sasaran yg lain joce plot twist pelaku bully juga,negative
Gud! Lanjutikan laj spall spill penerima dana kipk yang salah sasaran itu biar ga jadi bibit koruptor,negative
@tanyarlfes kipk ini pas kampus lagi seminar pernah di bahas kl gasalah waktu itu pematerinya dprd prov dari partai merah (cmiiw) ak uda lupa seminarnya 2 tahun lalu. ditanyain mahasiswa tentang kipk salah sasaran malah jawabannya ga memuaskan. disuruh ikut beasiswa dari bupati aja seingetku,negative
@undipmenfess Kenapa ya bantuan dari pemerintah banyak yang salah sasaran. Di kampus gua banyak yang kek gini gaya hidup hedon nongki di cafe mahal tapi malah dpt kipk sialan sedangkan yang hidupnya pas²an ga lolos kipk nya,negative
@tanyarlfes Jadi penasaran sistemnya kipk ini gimana kok bisa banyak yang salah sasaran ini rumahnya gak di datengin kah? Kea di cek beneran rumahnya apa bukan perlu foto rumah kan ya?,negative
undip rame bgt penerima kipk salah sasaran ya,negative
banyak case kipk salah sasaran yang terungkap jadi ngeri deh. tapi mengingat ini aja baru sampe kosan dengan naik angkot dri kampus ak tidak takut lagi ,negative
Melihat fenomena kipk salah sasaran rasanya nyesek bgt. Keinget adek sendiri gk lolos kipk padahal bapak cuma pensiunan ptpn yg tiap bulannya hanya dapat 1.250rb,negative
Padahal mau ganti style dress ke koket koket gitu Eh ternyata style koket estetik template penerima kipk salah sasaran ya ,negative
Banyak juga yaaa KIPK salah sasaran. ,negative
@undipmenfess petugas kipk tuh ga kerja apa gimana sih? apa ga ketampar soal salah sasaran sebanyak ini,negative
anjir undip unpad kenapa banyak kipk salah sasaran dah meanwhile waktu daftar gue digetok ukt + spi seharga 1 aerox,negative
Dak kelar kelar njir per spill an anak beasiswa kipk salah sasaran Undip wkwk base UNSRI lagi off kalu aktif mungkin banyak juga spill spill,negative
seru bgt liatin kipk salah sasaran pada ke spill gini xixi. kata gue mah mending yang belum ke spill ngajuin ngundurin diri duluan dehh sebelum ke spill,negative
pls hrd blacklist aja semua penerima bantuan kipk salah sasaran alias bibit2 koruptor biar pada jera,negative
@KamadiksiKIPK @undipmenfess Maksudnya Kamadiksi nyuruh bantu submit form itu ya biar pengurus Kamadiksi bisa bantu terusin laporannya ke pihak rektorat jd lebih cepat ternotice. Sama ky ormawa BEM BLM DLM gt lho. Salah sasaran kalian kl ngatain Kamadiksi krn mereka cm mahasiswa KIPK biasa bkn pegawai,negative
 KIPK tapi salah sasaran gini kan sama aja korup bisa dipenjara ga sih? gen ask https://t.co/WOds4FGEOv,negative
@retnoprmst_ @undipmenfess Lebih tepatnya kipk dulu sering salah sasaran baik di undip dan dimanapun,negative
undip dari kmrn ga berenti2 kipk yang salah sasaran,negative
syukur penerima kipk yg padahal mampu biayain kuliah sendiri mulai terekspos. stop normalisasi kipk salah sasaran. semoga ini jadi evaluasi pemerintah buat seleksi beasiswa lebih ketat. banyak orang kurang mampu yg lebih pantes disokong pendidikannya drpd influencers ini.,negative
ini apa ga ada kinerja baiknya kah para pemerintah? sampe salah sasaran semua yg dapet KIPK. meskipun covid ato gak yg dliat bukan kerjaannya apa tp bahkan sampe rumah dan lingkungan kek mana. bahkan biaya air listrik harta tuh diliat bro.,negative
Buset KIPK Undip banyak bener yg salah sasaran,negative
@irenesyyaw @undipmenfess yakin petugas ga ada ikut andil dalam salah sasaran kipk?,negative
Gak kaget si emang banyak kasus kayak @digidegu KIPK salah sasaran,negative
Mhs undip yang dapet kipk salah sasaran diliat liat lebih kaya daripada aku yang reguler dulu deh: Lifestyle nya uluh uluh,negative
lagi rame KIPK yg salah sasaran aku ada beberapa uneg-uneg yg pengen aku sampaikan berdasarkan pengalaman dan opini pribadi. - A THREAD-,negative
@undipmenfess Heh @Kemdikbud_RI Pak katanya merdeka belajar tapi sistem kipk untuk merdekain belajar mereka yang kurang mampu dalam segi finansial malah salah sasaran tapi ini gak satu atau dua orang loh banyak banget dan udah jadi rahasia umum tolong perbaiki lagi survei penerimanya,negative
@undipmenfess lama² buat menfess baru. kipkfess untuk mengawal para penerima kipk biar g salah sasaran,negative
@undipmenfess Harus dibenahi sih ini salah sasaran satu per satu mulai keluar ini kipk bitch nya.,negative
@ufuffufff @tanyakanrl banyak anak kipk yg gagal terus yg lolos malah orang kaya ka base on pengalaman yg aku liat aja kipk salah sasaran tuh banyak bgtt tapi gapernah dibenahi huft,negative
Edan banyak banget kasus kipk salah sasaran Jengkel liatnya asli Yang asli orang mampu pliss lah jangan ambil hak orang lain gitu lho malah dibuat foya foya dll ,negative
Itu yang dapet kipk di undip tu emang pada salah sasaran apa gimana dah?,negative
lagi rame KIPK yg salah sasaran tapi emang si kebanyakan anak KIPK lifestylenya lebih Hedon dibanding beasiswa orang tua sebagian kecil KIPK tepat sasaran untuk temen-temen yg bener bener kekurangan. sisanya tau sendiri lah wkwkwkwkwkwkwk.,negative
banyak banget salah sasaran kipk ini emg kudu dibenahi abis abisan sih abis ini biar ga salah tembak,negative
miris yak liatin orang2 kaya dapet beasiswa kipk.... miris nih Indonesia bener2 salah sasaran beasiswanya (walau ada bbrp yang tepat juga),negative
sampe bisa dinyatakan lulus kipk atau emang yang nyeleksi nya ga bener sampe bisa banyak salah sasaran? -dips!,negative
@undipmenfess semua penerima kipk salah sasaran undip lagi ketar-ketir,negative
@undipmenfess banyak amat dah ini kipk salah sasaran buset,negative
Di undip dari kemaren banyak spill an kipk salah sasaran,negative
@undipmenfess Sendernyaaa anak kipk yang hedon trs takut di spilll di base yaaaa. Semoga kamu bukan penerima yg salah sasaran yak,negative
Sehat-sehat orang tua yang bayarin ukt anaknya pake kerja keras sendiri + mahasiswa yang harus kerja buat bayar ukt Ga yang mengandalkan udahlah pake KIPK aja ntar fotonya pake rumah nenek eh Maaf marahin aja kalau mau marah tp emg ak lg emosi sama kipk salah sasaran:),negative
@undipmenfess Wah bangke bner ni orng yg salah sasaran bgni masih banyakk loh orng yg mati an smbil kerja buat ngumpulin uang kuliah. Kalo emng ngerasa udah mampu ya ngundurin diri dong. Kasih ke yg lebih butuhin. Kesel bgt dah dr kmaren trnyata banyak yg kalim KIPK ga tepat sasaran,negative
gw ga kaget sih kalo kipk banyak yg salah sasaran. soalnya temen gw jg gitu. ada yg bonyok nya tenaga pendidik tp dapet kipk ada yg yatim tp gagal dapat kipk. gatau dah gmn tuh sistemnya miris bgt hadehhh,negative
Rame banget kasus kipk salah sasaran gini. Sepengalaman gue dulu bidikmisi juga banyak yg salah sasaran dan ga ngundurin diri juga Kapan ya program² dikita tuh bisa tepat sasaran soalnya yg harusnya dapat malah ga dapet pas liat mereka yg dapet tuh kek mau marah gitu gasii,negative
@undipmenfess cantik² y penerima kipk salah sasaran,negative
@tanyakanrl sender sama wkwkwkwkwk bela belain cari kerja pontang panting karena gapunya duit buat kuliah ajuin kipk ga di acc eh yg dpt kipk malah salah sasaran org kaya lagi wkwkwkkwkwkw ngakak abiez,negative
dari tadi lewat terus kasus kipk banyak bgt yg salah sasaran,negative
@undipmenfess ayo spill semua peserta kipk salah sasaran ,negative
wkwk seru bgt makin bnyak spill2an kipk salah sasaran mana rata2 seleb,negative
2024 Tragedi kipk salah sasaran . ngapee sih indonesiaa salah sasaran mulu ga bantuan PKH skrg KIPK:'),negative
belum lagi jajan baru branded TIAP HARI NONGKIIII asli banget deh cafe dipku lumayan loh sekali duduk boong banget kalo murah??? kenapa sih kipk salah sasaran gini,negative
@Hulyaaaaa03 ini ada lagi a dgn org yg berbeda pulaa aneh jg kampus undip ini penerima kipk nya salah sasaran semuaa‍️‍️,negative
ternyata banyak bgt yaa kipk yg salah sasaran kayanya yg bneran butuh pd gaberani dftr jd orang2 yg udah pd mampu bisa dapet,negative
keren amat undip memberantas kipk salah sasaran,negative
sarangnya kipk salah sasaran ya,negative
@tanyakanrl Tolong lah disurvey dulu biar g salah sasaran terus dan dipantau juga kalau kalau dpt KIPK pas g mampu tapi beberapa waktu kemudian sudah mampu ya tolong sadar diri kasian lho orang orang yg jauh lebih berhak mendapatkan KIPK tapi g dapat akibat peluang diambil sama si ,negative
Anak upgris sebenernya juga banyak yg salah sasaran tp data nya ga di sebar jadi takut kalau spill datanya hidden semua soalnya #kipk,negative
@undipmenfess Tambah akeh ae KIPK salah sasaran....hadeeeew,negative
omomo mulai banyak yg terspill pengguna kipk yg salah sasaran,negative
Sumpah ya dari pada pemerintah ngasih program KIPK yang salah sasaran mending bikin sekolah sekolah maju buat sodara-sodara kita di papua yang membutuhkan,negative
@undipmenfess banyak juga ya yg salah sasaran kipk,negative
justru seharusnya makasih sm org2 yg berani menyuarakan penyalahgunaan KIPK dengan tujuan biar ga salah sasaran. kalau ga di push orang2 yg licik itu bakalan terus menikmati uang negara dan orang2 yg seharusnya dapet KIPK malah luntang-lantung gimana kuliahnya ttp jalan.,negative
@undipmenfess waduh makin banyak aja kipk salah sasaran,negative
@undipmenfess Menteri Pendidikan @nadiemmakarim harus bertanggungjawab terhadap akuntabilitas penyaluran beasiswa KIPK. Salah sasaran duwit dr pajak rakyat !,negative
Gambaran anak KIPK salah sasaran kalo udah lulus kuliah nanti. Lah kenapa gitu ray? Iya soalnya udah terbiasa dari kuliah mengambil hak - hak orang yang tidak mampu. Dududududududu https://t.co/zx1YqtM54D,negative
gue yakin bukan cuma undip doang yg banyak salah sasaran kipk gini tpi yg speak up no 1 cm base ini.,negative
yaallah one day one kipk salah sasaran,negative
@undipmenfess KIPK KENAPA SALAH SASARAN MULU?,negative
-dips! INI TU KESALAHAN PETUGAS KIPK APA GIMANA SEBANYAK INI YG SALAH SASARAN UDAH KEK NGASI KIPK KE ZIMBABWE SANA [HEWAN MENGGONGGONG]??,negative
kipk harus dikaji ulang deh sama pemerintah kok bisa salah sasaran mulu,negative
TL full KIPK salah sasaran,negative
@undipmenfess UNDIP WADAHNYA MAHASISWA PENERIMA KIPK SALAH SASARAN,negative
Dari kemaren buka twt beritanya masalah kalo ga becuk y kipk salah sasaran tar bilangnya sama sama sama oknum,negative
@undipmenfess gerah bgt sm kipk salah sasaran ini,negative
Negative vibes? Engga tuh justru makin banyak yang dispill makin bagus dong. Biar pemerintah ngeliat kalo KIPK banyak BANGET yang salah sasaran.,negative
serem bgt masalah KIPK tp dari dulu emg sering salah sasaran. jadi aku saranin buat yg masi sekolah banyakin ikut lomba deh biar apply BU BIM dan BPI. mau hedon jg gamsalah soalny buat yg berprestasi bkn yg gk mampu,negative
@undipmenfess ini sbnernya para kaum penerima kipk emg dari kalangan org berada semua kah? bnyk bgt yg salah sasaran gini keknya perlu ditinjau ulang dan diperketat buat seleksinya sih programnya itu,negative
@AnggaPutraF Bener. Masalah sebenarnya bukan penyalahgunaan KIPK (walau memang salah sasaran). Tapi ya biaya UKT yang terlampau tinggi dan ini yg harusnya netizen tekan ya kementerian dan Perguruan tinggi terkait.,negative
 akibat sering salah sasaran diduga arhan dan suzy kalah dapet kipk https://t.co/0NWPfaAFP6,negative
@undipmenfess @byAmandytch Another day another pengguna kipk yg salah sasaran,negative
@uaintich dia ga sadar kali yaa kalo pajak yg dibayar juga buat ngebiayain tu anak kipk yang salah sasaran. atau dia termasuk anak kipk yang salah sasaran itu? ups,negative
kasus kipk salah sasaran marak lagi nih. jujur kesel jg liat temen kampus gue yg dpt kipk mungkin cm 10% yg emg bener2 butuh. sisanya ada yg anak tni punya mobil dan 2 rmh flexing tabungan ortu ratusan. tp adaa aja alesan boongnya,negative
