date,time,username,tweet,preprocessing,Nama Universitas,label,geo
2024-04-30,12:37:15,iniintankok,LU BABIIII pokonya penerima kipk salah sasaran semuanya babi karena lu koruptor,babiiii pokok terima kipk salah sasar babi koruptor,,Negative,"<NA>,<NA>"
2024-04-30,12:36:56,Parkagassi97,@princessrumble Gila gila gila Kok bisa ya ? Salah sasaran kipk,princessrumble gila gila gila ya salah sasar kipk,,Positive,"<NA>,<NA>"
2024-04-30,12:36:40,findyamm,anak kipk salah sasaran lagi pada sibuk ngearsip postingannya hahahahaha,anak kipk salah sasar sibuk ngearsip postingannya haha,,Neutral,"<NA>,<NA>"
2024-04-30,12:30:47,drawerrr_,Rame banget ini masalah KIPK ternyata banyak juga yang gatau diri dan salah sasaran,ramai kipk salah sasar,,Negative,"<NA>,<NA>"
2024-04-30,12:30:47,noturslutttt,@Ghumaishahmad @umjigyul @__HappyBoo @pymidnight @undipmenfess Eh sori banget salah baca aku iya bener per semester tapi tetep aja si korup ga tepat sasaran itu salah semoga makin banyak yang keungkap yah dan dialokasi buat yg bener butuh kek temen gue ga dapet kipk trs pontang panting kerja buat ukt kuliah,ghumaishahmad umjigyul happyboo pymidnight undipmenfess eh sori salah baca iya semester sih korup sasar salah moga ungkap ya alokasi butuh teman kipk pontang panting kerja ukt kuliah,Universitas Diponegoro,Negative,"-7.0483698,110.440107056068"
2024-04-30,12:30:35,aicchan_sofii,Kipk salah sasaran yg ribut sesama mahasiswa. Panitianya ngapain noh.,kipk salah sasar ribut mahasiswa panitia,,Neutral,"<NA>,<NA>"
2024-04-30,12:28:07,xbtriix,@undipmenfess buset makin banyak aja yg ke spill ayo teruskan biar nanti yg lolos kipk ga salah sasaran lagi,undipmenfess buset spill ayo terus biar lolos kipk salah sasar,Universitas Diponegoro,Positive,"-7.0483698,110.440107056068"
2024-04-30,12:26:09,rktzzzk,Sedih banyak bngt kipk yg salah sasaran Dan lumayan nguras energi juga ya,sedih kipk salah sasar lumayan uras energi ya,,Negative,"<NA>,<NA>"
2024-04-30,12:23:26,unila_base,base kampus sebelah rame bgt tuh penerima KIPK salah sasaran yg ke spill gaya hedon tp pake kipk dengan berbagai dalih pembelaan pdhl ga seharusnya dia dapet di unila! ada jg ga siii??,base kampus belah ramai terima kipk salah sasar spill gaya boros pakai kipk dalih bela unila ada siii,Universitas Lampung,Positive,"-5.3777549,105.252392267404"
2024-04-30,12:22:32,ub_mfs,braw! kesel banget sama orang yang ga seneng tentang spill mahasiswa/i KIPK tapi HEDON karena emang menurutku banyak KIPK yang salah sasaran kek contohnya temenku pas smt 4 dua yang keluar karna masalah ekonomi dan mereka ga dapet KIPK. Sedangkan orang yang dapat KIPK (cont..),braw kesal orang senang spill mahasiswa i kipk boros turut kipk salah sasar contoh teman pas smt 4 ekonomi kipk orang kipk cont,Universitas Brawijaya,Negative,"-7.95201789999999,112.613881409846"
2024-04-30,12:21:47,90swaffles,@tanyarlfes sumpah ini anak KIPK yang salah sasaran tuu sebanyak itu.. temen gue cerita temennya anam KIPK gataunya bapaknya punya sawah banyak ada sapi berapa tau terus doi juga make skincare La Roche Posay :)),tanyarlfes sumpah anak kipk salah sasar teman cerita teman anam kipk tahu bapak sawah ada sapi pakai skincare roche posay,,Positive,"<NA>,<NA>"
2024-04-30,12:20:25,Pinkiesshfly,YaAllah undip cerita pertamaku bahkan smpe skrg kdg gamon kecil tp knp undip skrg lg ga baik² aja yak gara² kipk nya bnyk salah sasaran &amp; herannya masa sekelas mahasiswa undip kyk gt perilakunya kasian bgtt yg bener² butuh kipk,ya allah undip cerita pe ama kadang gagal move on undip ya gara kipk nya salah sasar heran kelas mahasiswa undip perilaku kasihan butuh kipk,Universitas Diponegoro,Positive,"-7.0483698,110.440107056068"
2024-04-30,12:19:05,nagicchi111,Makin lama spill spillan kipk terhadap pelaku salah sasaran makin gila anjir tidak membela sedikitpun karena mereka2 yg menyalahgunakan kesempatan. Tapi ternyata sanksi sosial bagi kalian juga sama2 minim empati,spill spillan kipk laku salah sasar gila anjir bela sedikit menyalahgunakan sempat sanksi sosial minim empati,,Negative,"<NA>,<NA>"
2024-04-30,12:18:53,nayladaily,Bjir undip banyak betul anak kipk yang salah sasaran,bjir undip anak kipk salah sasar,Universitas Diponegoro,Positive,"-7.0483698,110.440107056068"
2024-04-30,12:18:35,akuanakindomie_,Kata gw kasus kipk yg ternyata malah salah sasaran nih kudu diperhatikan. Penerima²nya juga kudu diverifikasi lebih mateng sama pemerintah. Trus lagi tiap tahun dikontrol. Jadi misal siapa tau diantara mereka ekonominya udh membaik bisa dialihkan ke yg lebih membutuhkan.,kipk salah sasar nih perhati terima nya verifikasi matang perintah kontrol ekonomi baik alih butuh,Universita Teuku Umar,Negative,"4.14449791067428,96.2034255956254"
2024-04-30,12:18:30,Mystiqueuee,selain undip kyok e akeh banget iki kipk salah sasaran,undip kyok e kipk salah sasar,Universitas Diponegoro,Positive,"-7.0483698,110.440107056068"
2024-04-30,12:14:02,swahdikap,@ub_mfs sebenernya KIPK ini menurutku banyak yang salah sasaran nderr dari kampus sebelah yang menyeruakan tentang KIPK ini maka dari itu apa salahnya kita ikut menyeruakannya agar yang SEHARUSNYA dapat KIPK itu ga salah sasaran nderr,universitas brawijaya mfs kipk turut salah sasar nderr kampus belah rua kipk salah rua kipk salah sasar nderr,Universitas Brawijaya,Positive,"-7.95201789999999,112.613881409846"
2024-04-30,12:12:20,kikikkk99,Yang lagi sering muncul di tl Kipk yujiem Kipk undeep Yang salah sasaran wkwkwk Mereka yg dpt tp salah sasaran itu lagi sibuk cari pembelaan sama lagi ngehapusin jejak digital kayanya wkwk,muncul lini kipk yujiem kipk undeep salah sasar wkwk salah sasar sibuk cari bela ngehapusin jejak digital wkwk,Universitas Gadjah Mada,Negative,"-7.7762384,110.3760088"
2024-04-30,12:12:05,junighyun,Another day another pembahasan tentang kipk. Muak banget jujur terlalu banyak penerima yang sebenernya ga pantes untuk dapetin kipk. Alias salah sasaran.,another day another bahas kipk muak jujur terima kipk alias salah sasar,,Positive,"<NA>,<NA>"
2024-04-30,12:11:54,fullsunitizers,plis ramein trend kipk salah sasaran ini,tolong ramein tren kipk salah sasar,,Negative,"<NA>,<NA>"
2024-04-30,12:10:02,fltonjm,ini kenapa dari maren isi tl gw anak undip yg salah sasaran dapat kipk si? ,kemarin isi lini anak undip salah sasar kipk sih,Universitas Diponegoro,Negative,"-7.0483698,110.440107056068"
2024-04-30,12:09:44,swahdikap,@ub_mfs maaff nderr coba dipikir lagi deh kipk ini banyk salah sasaran kenapa dana buat HEDON tersebut di alokasikan buat kebutuhan PENDIDIKAN karena jujur temanku ada yang berenti kuliah karna kendala ekonomi dan dia ga dapet KIPK itu yang seharusnya dia dapat yaa dari kriterianya,universitas brawijaya mfs maaff nderr coba pikir deh kipk salah sasar dana boros alokasi butuh didik jujur teman ada henti kuliah kendala ekonomi kipk ya kriteria,Universitas Brawijaya,Negative,"-7.95201789999999,112.613881409846"
2024-04-30,12:09:28,cringeyaswell,@tanyarlfes Spill semua pengguna kipk yg salah sasaran biar jera,tanyarlfes spill guna kipk salah sasar biar jera,,Negative,"<NA>,<NA>"
2024-04-30,12:09:20,convomfs, bener bener salah sasaran ga abis pikir sama koruptor kipk ya allah kok tega bgt gini https://t.co/hl9m7QkDPc,salah sasar habis pikir koruptor kipk ya allah tega,,Negative,"<NA>,<NA>"
2024-04-30,12:09:11,txtyana57,@undipmenfess makin lama makin banyak yg kebongkar soal KIPK yg salah sasaran.. setelah banyak kejadian begini kebijakan KIPK diubah bahkan bisa ditiadakan kasian generasi mendatang yg benar² butuh biaya ga mendapatkannya..,undipmenfess bongkar kipk salah sasar jadi bijak kipk ubah tiada kasihan generasi butuh biaya dapat,Universitas Diponegoro,Neutral,"-7.0483698,110.440107056068"
2024-04-30,12:08:28,leejnty,Ini gimana sih kok bisa dapet KIPK kayak kok bisa banyak yg salah sasaran. Emang gaada survey dulu atau gimana sih kesel banget gue,sih kipk salah sasar ada survei sih kesal,,Negative,"<NA>,<NA>"
2024-04-30,11:57:40,augustinelores,undip ini sarang kipk salah sasaran apa gmn wkwk,undip sarang kipk salah sasar wkwk,Universitas Diponegoro,Negative,"-7.0483698,110.440107056068"
2024-04-30,11:53:16,ddskmwt,@undipmenfess Yg nerima KIPK tapi salah sasaran kenapa template bgt kepribadiannya dari kemaren estetik pake produk apple terlihat seperti yg HEEM,undipmenfess terima kipk salah sasar template pribadi kemarin estetik pakai produk apple sepe i heem,Universitas Diponegoro,Negative,"-7.0483698,110.440107056068"
2024-04-30,11:52:42,airlin00,@undipmenfess Cara ngelaporin kipk salah sasaran gimana sih?,undipmenfess lapor kipk salah sasar sih,Universitas Diponegoro,Neutral,"-7.0483698,110.440107056068"
2024-04-30,11:52:39,heickichieki,@undipmenfess Unchdeep bgt yg salah sasaran kipk dh,undipmenfess unchdeep salah sasar kipk,Universitas Diponegoro,Neutral,"-7.0483698,110.440107056068"
2024-04-30,11:52:16,fvckakashi,ini udah brpa total kipk salah sasaran di undip bjir banyak amat ga abis2 : ),total kipk salah sasar undip bjir habis habis,Universitas Diponegoro,Negative,"-7.0483698,110.440107056068"
2024-04-30,11:45:06,kecoa_lucuimut,kesel bgt with KIPK user salah sasaran apalagi sampe manipulasi data. medium class terhimpit bgt tai kaya kaga miskin kaga. UKT? gede cok. i think im gonna move my ass to work and get some money in this semester.,kesal kipk salah sasar manipulasi data medium class terhimpit tahi miskin ukt gede cok i think im pergi pindah my ass to work and get some uang in this semester,,Positive,"<NA>,<NA>"
2024-04-30,11:42:43,fewshigurou,Seru banget bacain thread anak kipk salah sasaran hahaha Emng melempem aja sistemnya tiap tahun pasti ada ramenya soal kipk @Kemdikbud_RI gamau benerin sistem kah? Kipk nyasar ke ribuan bukan puluhan berapa dana yg salah sasaran tuh wkwkwk Mending kalo bener ini kaga,seru baca thread anak kipk salah sasar haha melempem sistem ada ramai kipk kemdikbud ri benar sistem kah kipk sasar ribu puluh dana salah sasar wkwk mending,,Negative,"<NA>,<NA>"
2024-04-30,11:42:23,serabiena,timeline gue isinya soal hedon bisa bayar ukt gabisa alias kipk salah sasaran,lini isi boros bayar ukt alias kipk salah sasar,,Negative,"<NA>,<NA>"
2024-04-30,11:35:04,ceceleagep,baru di undip doang udah ketauan bnyk bgt oknumnya. uny spill juga dong. buanyaaaaak banget soalnya wkwkw. kipk salah sasaran. kasian orang-orang yg beneran butuh kipk buat melanjutkan pendidikan kalah sama orang hedon :((,undip tahu oknum uny spill buanyaaaaak wkwk kipk salah sasar kasihan orang orang benar butuh kipk lanjut didik kalah orang boros,Universitas Diponegoro,Positive,"-7.0483698,110.440107056068"
2024-04-30,11:31:36,ipb_menfess,Punten kalau mau sp1ll kipk yg salah sasaran saran sender sensor setengah2 aja gais. Inisial aja gitu atau sp1ll statusnya misal skrg ikut ormawa X atau kepanitiaan Y,punten sp1ll kipk salah sasar saran sender sensor setengah2 gais inisial sp1ll status ormawa x panitia iya,,Negative,"<NA>,<NA>"
2024-04-30,11:29:43,tyongiebubuxoxo,Para penerima kipk salah sasaran ini merusak citra coquette sj ,terima kipk salah sasar rusak citra coquette,,Negative,"<NA>,<NA>"
2024-04-30,11:26:58,bubukusayang17,Banyak banget kipk salah sasaran di Undip nih mestinya bisa jadi pelajaran buat penyelenggara nya buat lebih selektif lagi. Kalo udah viral gini sih harus banget diselidiki satu persatu.,kipk salah sasar undip nih mesti ajar selenggara nya selektif viral sih selidik satu,Universitas Diponegoro,Negative,"-7.0483698,110.440107056068"
2024-04-30,11:25:14,nopipel,lanjutkan unchdeep spill anak kipk yg salah sasaran itu ,lanjut unchdeep spill anak kipk salah sasar,Universitas Diponegoro,Neutral,"-7.0483698,110.440107056068"
2024-04-30,11:24:59,nnakakan_,hmmm sedang ramai soal kipk sebenernya di jenjang sma/smk jg banyak yg salah sasaran....,hmmm ramai kipk jenjang sekolah tengah juru salah sasar,,Negative,"<NA>,<NA>"
2024-04-30,11:21:10,Falikhpa,@undipmenfess Daripada energi dihabiskan menyerang satu persatu penerima kipk salah sasaran yang sepertinya tidak ada habisnya mending yang diserang pembuat kebijakan agar hal spt ini tdk terjadi lagi. Juga protes agar ukt lebih terjangkau,undipmenfess energi habis serang satu terima kipk salah sasar sepe inya ada habis mending serang buat bijak surat pemberitahuan tahun protes ukt jangkau,Universitas Diponegoro,Positive,"-7.0483698,110.440107056068"
2024-04-30,11:19:09,urcatpotato,Kayaknya pemerintah atau penyelenggara KIPK atau whateber you called ini perlu evaluasi lagi deh proses seleksi kipk buanyak banget daritadi aku liat kayaknya yg salah sasaran malah jadi mupuk mental korupsi gini,kayak perintah selenggara kipk whateber called evaluasi deh proses seleksi kipk lihat kayak salah sasar mupuk mental korupsi,,Negative,"<NA>,<NA>"
2024-04-30,11:20:48,babysaintttt,Penerima KIPK salah sasaran pasti lagi ketar-ketir skrg,terima kipk salah sasar ketar tir,,Negative,"<NA>,<NA>"
2024-04-30,11:16:00,smileeyyy__,@undipmenfess pls Kemendikbud atau siapapun yang mengurus KIPK KJMU tolong ditelurusi lagi biar gak salah sasaran gini.,undipmenfess tolong menteri didik budaya urus kipk kjmu tolong turus biar salah sasar,Universitas Diponegoro,Negative,"-7.0483698,110.440107056068"
2024-04-30,11:09:43,phrince_A,Banyak banget TL yg lewat hari ini tentang KIPK yg salah sasaran mana yang dapet orang orang mampu semua lagi. Semoga kedepannya bisa diperbaiki lagi sistem KIPK agar tidak salah sasaran,lini kipk salah sasar orang orang moga depan baik sistem kipk salah sasar,,Negative,"<NA>,<NA>"
2024-04-30,11:09:10,chanss26,@undipmenfess Penerima kipk salah sasaran banyak bet njirr,undipmenfess terima kipk salah sasar anjir,Universitas Diponegoro,Negative,"-7.0483698,110.440107056068"
2024-04-30,11:08:32,day6_negentropy,Yaelah lu kayak gatau aja tuh pemakan2 kipk lain yg juga salah sasaran GAK AKAN nyerahin diri hidup enak tentram juga krn less likely org bakal lapor entah krn takut kespill Cepu dan gapunya bukti juga.,yaelah pemakan2 kipk salah sasar nyerahin hidup enak tentram less likely orang lapor takut kespill cepu bukti,,Neutral,"<NA>,<NA>"
2024-04-30,11:05:42,jenjaem2313__,@undipmenfess Anjirrrrrrrrrr banyak amat kipk salah sasaran,undipmenfess anjirrrrrrrrrr kipk salah sasar,Universitas Diponegoro,Neutral,"-7.0483698,110.440107056068"
2024-04-30,11:03:39,forlisz,udah dibilang kipk tuh kebanyakan salah sasaran cuman populasi 2% aja yang bener bener emang ga mampu bayar sisanya wallahualam.,bilang kipk banyak salah sasar populasi 2 bayar sisa wallahualam,,Negative,"<NA>,<NA>"
2024-04-30,11:03:21,abstrzz,@sbmptnfess aku ga iri sama iPhone nya aku iri sama gaya hidup nya yang ga harus pusing mikirin ukt dan biaya hidup lagi (khusus yang salah sasaran alias udah kaya tapi dapet kipk).,sbmptnfess iri iphone nya iri gaya hidup nya pusing pikir ukt biaya hidup khusus salah sasar alias kipk,Universitas Sumatera Utara,Negative,"3.56132175,98.6568033374916"
2024-04-30,11:02:53,ukhtielya,@terpamungkas Kata anak saya banyak anak2 penerima kipk itu pke Ipon yg terbaru kan salah sasaran bgt njiirr..,pamungkas anak anak anak terima kipk pakai ipon baru salah sasar anjir,Universitas Negeri Gorontalo,Negative,"0.5546668,123.062666148111"
2024-04-30,11:02:41,alcnsbiil,@undipmenfess bukan korban mah jatuhnya pelaku.. kamu salah satu kipk yg ga tepat sasaran ya?,undipmenfess korban jatuh laku salah kipk sasar ya,Universitas Diponegoro,Positive,"-7.0483698,110.440107056068"
2024-04-30,11:02:36,dailyluckies,ngomong2 soal kipk salah sasaran di kelasku jg ada anak penerima kip tp dia bisa ngonser beli lighstick collect photocard make up nya mahal2 kayak skintific intinya hidupnya hedon bgtttt emg kipk salah sasaran tu sebanyak itu,bicara bicara kipk salah sasar kelas ada anak terima kip ngonser beli lighstick collect photocard pakai up nya mahal mahal skintific inti hidup boros kipk salah sasar,,Negative,"<NA>,<NA>"
2024-04-30,11:02:10,chanss26,@undipmenfess Hahahah anak kipk ternyata yang salah sasaran emang Hedon bgt yak,undipmenfess haha anak kipk salah sasar boros ya,Universitas Diponegoro,Neutral,"-7.0483698,110.440107056068"
2024-04-30,11:00:58,theanesia,satu per satu dispill semua pengguna KIPK salah sasaran ni wkwkwk,dispill guna kipk salah sasar nih wkwk,,Negative,"<NA>,<NA>"
2024-04-30,10:54:36,nmeilinaa,@berkulyeah Yups yg bikin banyak anak putus kuliah itu ya pemerintah sebenarnya gak mampu bikin sistem fair sesuai dengan pendapatan masyarakat Indonesia akhinya UKT gila an harganya Bikin bantuan kipk begini juga bnyk salah sasaran artinya dari awal udah ada yg salah sistemnya,berkulyeah iya bikin anak putus kuliah ya perintah bikin sistem fair sesuai dapat masyarakat indonesia ukt gila an harga bikin bantu kipk salah sasar a inya ada salah sistem,Universita Teuku Umar,Negative,"4.14449791067428,96.2034255956254"
